basin_id,long,lat,prop_rr,prop_tg,prop_sm,prop_sp,prop_mu,mag_ratio,mag_ttest_p,flood_com,flood_com_p,est_err
0001,26.46,-27.39,0.816,0.079,0.368,0.0,0.447,3.889,0.0,0.111,0.0,-18.346
0002,26.72,-30.68,0.897,0.0,0.385,0.026,0.333,2.297,0.0,0.187,0.0,-11.945
0003,27.36,-30.34,0.846,0.0,0.436,0.0,0.385,2.212,0.0,0.203,0.0,-29.877
0004,27.4,-30.16,0.912,0.0,0.294,0.0,0.294,1.388,0.046,0.101,0.0,21.318
0005,28.51,-30.06,0.719,0.0,0.625,0.0,0.469,1.671,0.017,0.084,0.0,-3.416
0006,27.89,-28.88,0.926,0.0,0.333,0.0,0.259,1.543,0.03,0.021,0.027,-15.038
0007,28.59,-27.3,0.75,0.028,0.361,0.0,0.361,2.043,0.041,0.092,0.0,-39.257
0008,28.88,-26.86,0.744,0.128,0.308,0.0,0.41,2.103,0.002,0.147,0.0,-15.796
0009,19.01,-32.6,0.963,0.815,0.259,0.0,0.815,0.978,0.525,0.029,0.0,6.228
0010,18.99,-34.33,0.921,0.605,0.263,0.0,0.711,1.326,0.059,0.084,0.0,-4.326
0011,20.02,-34.29,0.692,0.0,0.192,0.0,0.192,1.804,0.026,0.059,0.0,11.284
0012,19.28,-32.78,0.974,0.737,0.447,0.0,0.816,0.904,0.724,0.116,0.0,-3.086
0013,18.94,-32.21,0.897,0.667,0.103,0.0,0.615,1.369,0.217,0.101,0.0,-69.798
0014,18.69,-31.86,0.73,0.216,0.243,0.0,0.297,1.385,0.1,0.134,0.0,-9.728
0015,18.74,-33.46,0.75,0.083,0.306,0.0,0.306,1.36,0.074,0.11,0.0,-10.809
0016,18.99,-33.71,0.923,0.718,0.282,0.0,0.744,1.466,0.107,0.082,0.0,-7.566
0017,19.07,-33.31,1.0,0.684,0.421,0.0,0.842,0.584,0.986,0.094,0.0,-20.005
0018,18.86,-33.13,1.0,0.895,0.237,0.0,0.947,1.615,,0.148,0.0,3.954
0019,19.3,-33.38,0.949,0.744,0.205,0.0,0.744,1.617,0.024,0.105,0.0,-13.337
0020,19.27,-33.42,0.865,0.892,0.135,0.0,0.784,1.765,0.002,0.098,0.0,-2.758
0021,20.01,-33.9,0.868,0.868,0.132,0.0,0.816,1.569,0.07,0.144,0.0,-19.478
0022,19.69,-33.82,0.895,0.658,0.158,0.0,0.605,1.099,0.315,0.121,0.0,18.367
0023,20.41,-34.07,0.919,0.676,0.135,0.0,0.622,0.985,0.532,0.091,0.0,14.102
0024,19.54,-32.5,0.944,0.583,0.111,0.0,0.556,1.193,0.138,0.153,0.0,13.285
0025,22.14,-33.68,0.812,0.0,0.406,0.0,0.375,1.875,0.035,0.071,0.0,-11.579
0026,22.0,-33.47,0.949,0.0,0.436,0.0,0.436,1.255,0.057,0.113,0.0,-2.343
0027,22.35,-34.01,0.868,0.026,0.421,0.0,0.395,1.129,0.341,0.083,0.0,-10.367
0028,22.22,-34.03,0.816,0.105,0.342,0.0,0.421,2.902,0.0,0.109,0.0,-42.519
0029,22.05,-34.03,0.784,0.0,0.324,0.0,0.297,1.617,0.003,0.123,0.0,19.305
0030,23.03,-33.89,0.795,0.179,0.359,0.0,0.41,1.979,0.007,0.208,0.0,-1.394
0031,23.37,-33.95,0.85,0.0,0.35,0.0,0.35,2.763,0.0,0.135,0.0,0.417
0032,24.03,-33.79,0.774,0.129,0.419,0.0,0.419,6.149,0.0,0.134,0.0,-53.517
0033,26.99,-33.24,0.775,0.1,0.225,0.0,0.225,2.48,0.019,0.132,0.0,-52.967
0034,27.37,-32.86,0.875,0.0,0.4,0.0,0.4,1.796,0.006,0.126,0.0,0.782
0035,27.39,-32.92,0.829,0.114,0.229,0.0,0.229,1.681,0.017,0.099,0.0,21.017
0036,27.64,-32.99,0.885,0.0,0.269,0.0,0.269,1.424,0.04,0.098,0.0,-3.568
0037,27.38,-32.88,0.7,0.067,0.333,0.0,0.3,2.566,0.006,0.109,0.0,-29.202
0038,27.86,-32.8,0.935,0.0,0.355,0.0,0.387,1.578,0.023,0.051,0.0,-2.222
0039,27.52,-32.52,0.833,0.0,0.5,0.0,0.417,1.857,0.005,0.137,0.0,6.3
0040,29.47,-29.78,0.763,0.237,0.474,0.0,0.474,1.631,0.002,0.157,0.0,-24.231
0041,28.02,-32.52,0.967,0.0,0.233,0.0,0.267,2.224,0.0,0.092,0.0,10.389
0042,29.54,-29.75,0.793,0.138,0.586,0.0,0.586,1.353,0.179,0.147,0.0,-52.039
0043,29.9,-29.74,0.8,0.0,0.725,0.0,0.6,1.254,0.153,0.106,0.0,-17.971
0044,30.7,-30.17,0.833,0.25,0.5,0.0,0.583,1.213,0.014,0.078,0.0,17.256
0045,30.28,-29.38,0.775,0.1,0.6,0.0,0.5,2.296,0.001,0.114,0.0,-26.441
0046,30.49,-29.42,0.615,0.0,0.59,0.0,0.462,2.412,0.056,0.102,0.0,-62.961
0047,30.09,-29.51,0.895,0.0,0.711,0.0,0.632,3.03,0.046,0.137,0.0,-74.603
0048,30.69,-29.64,0.786,0.036,0.464,0.0,0.393,1.929,0.028,0.135,0.0,18.193
0049,28.11,-31.67,0.818,0.0,0.409,0.0,0.318,1.878,0.014,0.036,0.0,-49.569
0050,30.25,-29.07,0.875,0.225,0.525,0.0,0.7,2.005,0.092,0.103,0.0,-62.545
0051,29.88,-29.36,0.8,0.075,0.65,0.0,0.55,1.405,0.079,0.111,0.0,-21.037
0052,28.85,-31.24,0.757,0.027,0.432,0.0,0.459,1.824,0.002,0.191,0.0,-7.262
0053,28.35,-31.07,0.974,0.077,0.385,0.0,0.462,1.34,0.152,0.145,0.0,12.49
0054,28.88,-31.03,0.838,0.135,0.297,0.0,0.324,1.124,0.293,0.085,0.0,-6.439
0055,29.07,-30.86,0.733,0.0,0.367,0.0,0.3,1.8,0.014,0.076,0.0,-33.938
0056,29.15,-30.57,0.675,0.0,0.675,0.0,0.5,1.516,0.003,0.191,0.0,-3.669
0057,29.53,-31.5,0.893,0.0,0.5,0.0,0.464,1.224,0.162,-0.022,1.0,-3.875
0058,30.87,-29.72,0.64,0.2,0.44,0.0,0.4,1.655,0.069,0.096,0.0,-33.605
0059,30.63,-29.16,0.744,0.077,0.538,0.0,0.462,1.518,0.047,0.093,0.0,-6.535
0060,30.01,-28.4,0.875,0.025,0.475,0.0,0.5,1.265,0.15,0.094,0.0,-35.107
0061,29.95,-27.9,0.923,0.128,0.487,0.0,0.487,1.219,0.124,0.071,0.0,-3.634
0062,29.88,-29.01,0.925,0.0,0.4,0.0,0.375,1.062,0.401,0.081,0.0,-41.78
0063,31.39,-29.14,0.733,0.233,0.433,0.0,0.433,1.964,0.093,0.099,0.0,-79.888
0064,29.38,-28.72,0.838,0.027,0.568,0.0,0.541,1.95,0.025,0.108,0.0,-21.87
0065,30.44,-28.75,0.865,0.216,0.405,0.0,0.486,1.288,0.098,-0.01,1.0,-23.323
0066,29.54,-28.82,0.9,0.0,0.65,0.0,0.575,1.578,0.022,0.141,0.0,-21.605
0067,29.31,-28.81,0.725,0.125,0.525,0.0,0.45,0.91,0.681,0.024,0.0,9.517
0068,31.21,-27.94,0.719,0.0,0.719,0.0,0.531,1.754,0.068,0.055,0.0,2.7
0069,31.37,-28.34,0.886,0.057,0.4,0.0,0.429,1.468,0.103,0.114,0.0,-33.929
0070,32.33,-28.45,0.81,0.333,0.19,0.0,0.429,1.464,0.134,0.088,0.0,-0.311
0071,20.99,-34.25,0.872,0.0,0.333,0.0,0.308,1.331,0.225,0.129,0.0,-16.414
0072,21.29,-34.09,0.789,0.0,0.474,0.0,0.474,2.169,0.008,0.076,0.0,-16.428
0073,31.96,-28.8,0.783,0.0,0.391,0.0,0.348,1.146,0.267,0.219,0.0,-43.431
0074,30.74,-24.33,0.88,0.0,0.52,0.0,0.4,0.894,0.676,0.072,0.0,-20.29
0075,31.03,-24.56,0.857,0.2,0.371,0.0,0.543,1.68,0.075,0.133,0.0,23.091
0076,30.1,-24.91,0.872,0.282,0.308,0.0,0.462,2.049,0.0,0.137,0.0,-0.47
0077,29.86,-25.03,0.875,0.025,0.6,0.0,0.575,2.172,0.004,0.13,0.0,-15.839
0078,30.22,-25.04,0.718,0.0,0.41,0.0,0.282,1.556,0.02,0.087,0.0,5.455
0079,31.64,-23.84,0.724,0.0,0.448,0.0,0.379,2.094,0.015,0.133,0.0,-73.138
0080,27.48,-24.16,0.667,0.194,0.5,0.0,0.417,2.681,0.0,0.14,0.0,2.589
0081,30.54,-22.77,0.952,0.0,0.333,0.0,0.381,1.635,0.16,0.095,0.0,-48.689
0082,30.39,-23.11,0.864,0.045,0.545,0.0,0.455,2.793,0.015,0.064,0.0,-4.034
0083,30.89,-22.77,0.867,0.067,0.5,0.0,0.533,2.101,0.013,0.167,0.0,-34.655
0084,31.08,-22.44,0.818,0.0,0.318,0.0,0.318,1.458,0.174,0.066,0.0,-43.83
0085,27.91,-25.81,0.9,0.0,0.325,0.0,0.3,0.838,0.715,0.053,0.0,1.881
0086,28.35,-25.66,0.821,0.0,0.564,0.0,0.436,1.783,0.031,0.121,0.0,-37.801
0087,28.26,-25.47,0.909,0.0,0.455,0.0,0.424,1.121,0.337,0.156,0.0,-17.798
0088,28.4,-23.98,0.656,0.031,0.5,0.0,0.375,2.237,0.017,0.09,0.0,-32.792
0089,30.8,-24.68,0.763,0.0,0.5,0.0,0.447,3.232,0.002,0.147,0.0,-29.924
0090,30.82,-24.18,0.828,0.0,0.586,0.0,0.448,1.835,0.01,0.101,0.0,5.491
0091,31.24,-24.07,0.857,0.0,0.5,0.0,0.393,2.208,0.004,0.073,0.0,-29.897
0092,31.78,-25.68,0.818,0.061,0.515,0.0,0.455,2.738,0.022,0.128,0.0,-55.761
0093,30.41,-25.84,0.824,0.0,0.471,0.0,0.324,2.277,0.011,0.132,0.0,-21.687
0094,31.98,-25.44,0.875,0.0,0.688,0.0,0.594,2.181,0.061,0.139,0.0,-70.668
0095,31.0,-26.04,0.771,0.057,0.371,0.0,0.314,2.151,0.007,0.143,0.0,13.792
0096,31.96,-25.36,0.657,0.0,0.6,0.0,0.429,4.601,0.009,0.124,0.0,-15.488
0097,30.71,-25.45,0.622,0.054,0.432,0.0,0.378,1.839,0.012,0.106,0.0,-13.267
0098,31.22,-25.51,0.895,0.184,0.658,0.0,0.632,2.792,0.034,0.126,0.0,-26.944
0099,30.97,-25.43,0.829,0.229,0.514,0.0,0.486,3.824,0.007,0.122,0.0,0.39
0100,30.7,-25.38,0.684,0.0,0.5,0.0,0.342,2.241,0.0,0.072,0.0,-12.901
0101,30.7,-25.49,0.658,0.0,0.474,0.0,0.289,2.189,0.001,0.095,0.0,-9.936
0102,30.87,-25.61,0.676,0.216,0.514,0.0,0.459,1.553,0.113,0.093,0.0,-0.019
0103,30.78,-25.09,0.684,0.0,0.658,0.0,0.447,2.879,0.0,0.128,0.0,-33.321
0104,31.13,-25.08,0.871,0.065,0.516,0.0,0.516,2.766,0.001,0.127,0.0,-18.79
0105,31.94,-25.15,0.552,0.31,0.517,0.0,0.414,5.552,0.006,0.165,0.0,-53.86
0106,30.85,-27.53,0.806,0.0,0.528,0.0,0.389,0.952,0.691,0.065,0.0,-15.096
0107,31.78,-27.36,0.947,0.132,0.605,0.0,0.605,1.913,0.004,0.119,0.0,-30.183
0108,30.73,-26.83,0.684,0.158,0.447,0.0,0.316,2.928,0.006,0.123,0.0,-44.906
0109,30.7,-26.68,0.75,0.0,0.425,0.0,0.275,2.178,0.0,0.05,0.0,-11.533
0110,30.83,-27.11,0.816,0.0,0.684,0.0,0.579,1.825,0.0,0.115,0.0,-1.572
0111,30.99,-27.07,0.711,0.132,0.526,0.0,0.5,2.602,0.001,0.083,0.0,-16.476
0112,-1.08,9.7,0.261,0.435,0.87,0.0,0.522,0.919,0.612,0.024,0.0,16.608
0113,30.97,-10.18,0.44,0.0,0.72,0.0,0.2,1.246,0.026,0.039,0.0,-20.448
0114,30.23,-9.48,0.217,0.0,0.783,0.0,0.174,1.018,0.439,-0.005,1.0,-1.715
0115,31.07,-10.95,0.045,0.091,0.591,0.0,0.136,1.95,0.012,0.025,0.0,-36.458
0116,38.78,8.38,0.65,0.05,1.0,0.0,0.8,1.039,,-0.018,1.0,-17.884
0117,39.85,8.85,0.929,0.143,0.571,0.0,0.607,1.358,0.011,0.064,0.0,-7.264
0118,25.92,-14.93,0.174,0.174,0.565,0.0,0.174,1.983,0.0,0.057,0.0,-10.831
0119,27.35,-12.92,0.217,0.0,0.652,0.0,0.043,1.621,,0.04,0.0,-30.103
0120,-12.9,10.5,0.136,0.409,0.864,0.0,0.682,0.899,0.738,-0.014,1.0,-7.778
0121,-9.3,10.38,0.432,0.378,1.0,0.0,0.73,1.021,0.404,0.043,0.0,-11.447
0122,10.03,12.44,0.64,0.0,0.88,0.0,0.64,1.029,0.44,-0.037,1.0,-31.353
0123,95.7,26.0,0.929,0.0,0.821,0.0,0.821,1.291,0.028,0.083,0.0,-17.67
0124,96.47,18.92,0.643,0.0,0.821,0.0,0.464,1.134,0.032,0.0,0.745,-3.674
0125,96.52,18.91,0.607,0.143,0.821,0.0,0.5,1.218,0.017,0.049,0.0,-19.104
0126,49.51,36.62,0.7,0.0,0.6,0.367,0.667,1.606,0.013,0.12,0.0,-4.401
0127,52.06,35.85,0.091,0.227,0.864,0.091,0.409,1.118,0.338,0.034,0.0,-39.322
0128,48.77,32.93,0.853,0.0,0.353,0.294,0.529,1.276,0.171,0.142,0.0,-17.582
0129,48.89,33.21,0.583,0.0,0.5,0.389,0.472,1.799,0.013,0.116,0.0,-12.329
0130,48.68,31.33,0.529,0.0,0.5,0.5,0.5,1.79,0.003,0.032,0.0,-9.709
0131,50.13,31.75,0.417,0.0,0.5,0.167,0.375,1.326,0.072,0.103,0.0,-27.148
0132,50.42,31.52,0.72,0.0,0.52,0.0,0.36,1.218,0.088,0.071,0.0,-3.667
0133,51.28,29.47,0.815,0.222,0.111,0.037,0.296,1.124,0.371,0.027,0.0,-24.191
0134,48.43,31.5,0.654,0.0,0.231,0.462,0.5,1.527,0.014,0.058,0.0,11.513
0135,57.19,27.27,0.794,0.412,0.176,0.0,0.529,2.294,0.003,0.112,0.0,-22.929
0136,161.17,68.15,0.097,0.161,0.323,0.774,0.419,1.165,0.106,-0.012,1.0,-21.152
0137,114.08,71.97,0.161,0.0,0.452,0.903,0.581,0.948,0.67,0.018,0.0,-3.177
0138,-69.33,-18.23,0.929,0.0,0.321,0.0,0.357,2.345,0.006,0.097,0.0,-42.584
0139,-69.05,-18.58,0.778,0.0,0.444,0.0,0.333,1.763,0.001,0.153,0.0,-14.552
0140,-68.59,-19.86,0.739,0.087,0.217,0.0,0.174,1.882,0.003,0.192,0.0,-13.779
0141,-72.95,-38.78,0.842,0.0,0.737,0.0,0.684,1.289,0.035,0.141,0.0,5.255
0142,-72.5,-38.69,0.846,0.026,0.667,0.154,0.667,1.302,0.037,0.166,0.0,9.007
0143,-73.08,-39.01,0.724,0.0,0.448,0.034,0.31,1.577,0.004,0.148,0.0,-14.02
0144,-73.28,-40.52,0.781,0.0,0.781,0.0,0.594,1.394,0.002,0.111,0.0,-3.607
0145,-71.53,-33.77,0.75,0.139,0.25,0.194,0.361,3.093,0.0,0.298,0.0,25.757
0146,-71.34,-33.66,0.788,0.0,0.182,0.0,0.182,2.085,0.05,0.1,0.0,55.625
0147,-70.88,-33.81,0.806,0.161,0.129,0.065,0.29,1.952,0.042,0.196,0.0,-36.636
0148,-70.82,-33.5,0.778,0.0,0.306,0.278,0.361,1.945,0.027,0.188,0.0,-50.397
0149,-71.24,-34.06,0.833,0.0,0.433,0.0,0.4,3.441,0.001,0.144,0.0,-16.05
0150,-72.21,-35.41,0.818,0.0,0.333,0.242,0.394,1.992,0.018,0.214,0.0,-26.75
0151,-71.71,-35.56,0.526,0.0,0.474,0.447,0.5,1.757,0.007,0.241,0.0,-7.236
0152,-71.83,-35.82,0.861,0.0,0.361,0.0,0.389,1.501,0.013,0.189,0.0,3.918
0153,-71.73,-35.45,0.952,0.0,0.143,0.381,0.476,1.594,0.01,0.18,0.0,8.147
0154,-72.01,-34.98,0.875,0.0,0.219,0.156,0.344,1.863,0.005,0.209,0.0,-28.985
0155,-72.69,-36.47,0.818,0.0,0.273,0.333,0.364,1.437,0.037,0.245,0.0,4.236
0156,-72.07,-37.15,0.923,0.0,0.385,0.231,0.487,1.659,0.0,0.175,0.0,-18.487
0157,-71.58,-36.92,0.947,0.237,0.053,0.395,0.526,1.775,0.002,0.187,0.0,-11.18
0158,-73.07,-36.83,0.868,0.0,0.474,0.421,0.526,1.361,0.033,0.153,0.0,-11.929
0159,-72.59,-37.55,0.871,0.0,0.419,0.677,0.677,1.01,0.484,0.136,0.0,-6.486
0160,-71.9,-37.71,0.947,0.0,0.368,0.421,0.526,1.125,0.271,0.101,0.0,-7.977
0161,-71.23,-38.43,0.839,0.0,0.484,0.0,0.452,1.247,0.116,0.132,0.0,-10.997
0162,-73.4,-38.12,0.444,0.111,0.639,0.0,0.417,2.033,0.001,0.091,0.0,-34.427
0163,-72.78,-38.4,0.811,0.108,0.27,0.0,0.405,1.275,0.135,0.185,0.0,-0.284
0164,-72.85,-38.61,0.872,0.026,0.692,0.051,0.615,1.564,0.001,0.172,0.0,7.713
0165,-70.51,-32.85,0.054,0.622,0.405,0.432,0.514,2.055,0.0,0.065,0.0,-9.533
0166,-71.46,-31.58,0.571,0.0,0.107,0.25,0.143,5.345,0.0,0.164,0.0,15.173
0167,-71.27,-31.69,0.481,0.074,0.074,0.111,0.074,3.332,0.005,0.139,0.0,34.685
0168,-71.25,-31.66,0.68,0.12,0.2,0.24,0.24,1.791,0.082,0.087,0.0,-47.021
0169,-70.52,-28.72,0.261,0.174,0.391,0.261,0.348,4.376,0.0,0.077,0.0,-52.256
0170,-68.99,-22.51,0.625,0.0,0.156,0.062,0.156,3.667,0.0,0.259,0.0,-9.476
0171,-70.3,-18.4,0.966,0.034,0.552,0.0,0.655,2.015,0.054,0.048,0.0,-57.094
0172,-69.7,-17.84,0.895,0.0,0.342,0.0,0.289,1.97,0.0,0.124,0.0,-12.456
0173,-69.67,-18.83,0.933,0.0,0.633,0.0,0.6,0.866,0.6,0.179,0.0,-78.383
0174,-68.93,-19.86,0.643,0.179,0.179,0.071,0.214,2.503,0.005,0.196,0.0,-30.509
0175,-72.9,-39.55,0.949,0.0,0.795,0.0,0.769,1.277,0.039,0.078,0.0,9.216
0176,-72.82,-39.86,0.938,0.156,0.781,0.0,0.719,1.327,0.05,0.132,0.0,0.718
0177,-58.55,-28.97,0.5,0.0,0.538,0.0,0.269,1.938,0.005,0.028,0.0,-60.986
0178,-64.37,-22.72,0.8,0.0,0.629,0.0,0.486,1.236,0.09,0.053,0.0,-44.016
0179,-64.47,-23.73,0.903,0.0,0.71,0.0,0.613,1.125,0.276,0.047,0.0,-30.049
0180,-59.38,-26.3,0.242,0.061,0.848,0.0,0.273,1.048,0.265,0.021,0.0,5.275
0181,-57.68,-29.83,0.548,0.032,0.387,0.0,0.194,1.91,0.007,0.067,0.0,-38.169
0182,-65.6,-27.1,0.629,0.486,0.4,0.0,0.6,1.477,0.034,0.051,0.0,-11.09
0183,-68.63,-31.52,0.0,0.469,0.531,0.344,0.5,2.139,0.001,0.091,0.0,-12.253
0184,-69.7,-31.95,0.0,0.531,0.562,0.188,0.406,1.999,0.007,0.052,0.0,-26.983
0185,-69.27,-32.85,0.029,0.618,0.559,0.029,0.353,1.592,0.01,0.042,0.0,-21.681
0186,-69.25,-33.78,0.059,0.735,0.618,0.294,0.588,1.856,0.0,0.085,0.0,-13.154
0187,-69.33,-34.67,0.0,0.5,0.588,0.206,0.5,1.842,0.0,0.074,0.0,-16.037
0188,-68.87,-35.03,0.029,0.647,0.471,0.235,0.441,1.575,0.0,0.062,0.0,-19.72
0189,-69.95,-36.73,0.148,0.444,0.481,0.148,0.222,1.501,0.035,0.092,0.0,-32.352
0190,-69.73,-37.1,0.083,0.542,0.375,0.167,0.333,1.428,0.024,0.069,0.0,-28.195
0191,-69.42,-38.53,0.758,0.0,0.182,0.0,0.121,1.335,0.184,0.122,0.0,-36.757
0192,-71.22,-39.8,0.481,0.0,0.667,0.222,0.444,1.501,0.0,0.094,0.0,-2.869
0193,-71.17,-42.1,0.394,0.0,0.515,0.182,0.303,1.551,0.007,0.093,0.0,-22.706
0194,-70.53,-42.7,0.485,0.0,0.576,0.212,0.394,1.805,0.001,0.089,0.0,-5.875
0195,-68.5,-43.85,0.182,0.03,0.424,0.424,0.303,1.79,0.013,0.053,0.0,-39.221
0196,-71.35,-44.97,0.034,0.172,0.621,0.0,0.207,1.031,0.409,0.001,0.956,-5.52
0197,-71.75,-41.38,0.581,0.0,0.355,0.226,0.387,1.439,0.002,0.112,0.0,-5.311
0198,-52.05,0.98,0.759,0.0,0.966,0.0,0.724,1.219,0.016,0.027,0.0,-0.795
0199,-51.44,0.71,0.811,0.0,0.892,0.0,0.73,1.146,0.059,0.064,0.0,-15.374
0200,-52.01,0.9,0.85,0.0,0.925,0.0,0.775,1.15,0.047,0.046,0.0,-8.52
0201,-65.04,-10.92,0.364,0.0,0.758,0.0,0.273,1.258,0.027,0.06,0.0,-5.625
0202,-59.33,-15.2,0.48,0.0,0.72,0.0,0.36,1.189,0.021,0.053,0.0,2.47
0203,-61.05,-13.49,0.316,0.0,0.395,0.0,0.158,1.227,0.001,0.032,0.0,3.359
0204,-59.96,-15.01,0.436,0.0,0.538,0.0,0.308,1.295,0.006,0.063,0.0,-16.549
0205,-59.35,-15.22,0.541,0.027,0.703,0.0,0.351,1.108,0.086,0.035,0.0,-6.226
0206,-62.15,-11.93,0.815,0.0,0.778,0.0,0.667,1.473,0.03,0.079,0.0,-1.986
0207,-66.85,1.22,0.641,0.282,0.923,0.0,0.769,1.182,0.006,0.066,0.0,-3.95
0208,-67.59,1.07,0.231,0.667,0.923,0.0,0.667,0.977,0.688,-0.012,1.0,10.169
0209,-68.69,1.34,0.346,0.115,0.731,0.0,0.385,1.007,0.444,0.023,0.0,-3.879
0210,-69.38,0.21,0.622,0.432,0.622,0.0,0.622,1.061,0.094,0.022,0.0,-1.055
0211,-67.01,-0.25,0.342,0.289,0.921,0.0,0.579,1.025,0.306,0.003,0.203,-1.45
0212,-62.62,0.88,0.647,0.0,0.794,0.0,0.529,1.035,0.269,0.033,0.0,-5.246
0213,-60.47,0.52,0.75,0.125,0.875,0.0,0.812,1.616,0.001,0.079,0.0,-6.561
0214,-60.52,-0.86,0.636,0.121,0.848,0.0,0.576,1.12,0.123,0.002,0.986,7.951
0215,-60.5,5.03,0.846,0.192,0.615,0.0,0.615,1.28,0.093,0.088,0.0,-6.992
0216,-60.47,4.63,0.92,0.2,0.6,0.0,0.52,1.174,0.105,0.058,0.0,6.588
0217,-60.53,4.17,0.949,0.333,0.538,0.0,0.641,1.265,0.027,0.078,0.0,-4.256
0218,-60.79,4.2,0.697,0.273,0.576,0.0,0.455,1.407,0.008,0.1,0.0,10.803
0219,-60.57,3.21,0.692,0.077,0.923,0.0,0.667,1.266,0.012,0.056,0.0,9.477
0220,-61.04,3.44,0.744,0.154,0.846,0.0,0.692,1.112,0.06,0.029,0.0,-3.323
0221,-63.17,3.55,0.778,0.0,0.667,0.0,0.472,1.01,0.44,-0.01,1.0,-2.623
0222,-61.44,2.87,0.667,0.0,0.846,0.0,0.564,1.126,0.071,0.057,0.0,-3.763
0223,-62.02,2.73,0.5,0.0,0.923,0.0,0.5,1.058,0.253,0.027,0.0,-15.676
0224,-62.28,1.75,0.714,0.0,0.821,0.0,0.607,1.231,0.02,0.065,0.0,-6.214
0225,-69.13,0.48,0.41,0.564,0.821,0.0,0.59,1.111,0.01,0.067,0.0,-16.682
0226,-68.54,0.13,0.308,0.59,0.872,0.0,0.718,1.132,0.017,0.072,0.0,-11.94
0227,-67.89,-4.22,0.208,0.0,0.875,0.0,0.167,0.986,0.584,0.007,0.048,6.756
0228,-69.0,-5.38,0.618,0.0,0.882,0.0,0.529,1.006,0.459,0.024,0.0,-16.189
0229,-65.2,-4.29,0.306,0.0,0.833,0.0,0.278,1.121,0.058,0.045,0.0,-8.239
0230,-63.98,-5.11,0.472,0.0,0.917,0.0,0.417,1.023,0.355,-0.002,0.999,-13.999
0231,-57.83,-1.44,0.45,0.25,0.9,0.0,0.4,1.116,0.143,0.034,0.0,-14.328
0232,-58.93,-6.75,0.276,0.138,0.931,0.0,0.345,1.018,0.391,-0.002,0.991,9.469
0233,-59.04,-6.8,0.41,0.026,0.949,0.0,0.462,1.115,0.05,0.038,0.0,14.624
0234,-59.68,-7.1,0.364,0.182,0.788,0.0,0.455,1.255,0.027,0.036,0.0,-39.455
0235,-54.87,-1.5,0.568,0.081,0.838,0.0,0.568,2.321,0.001,0.076,0.0,-5.049
0236,-54.4,-1.78,0.838,0.135,0.919,0.0,0.784,1.261,0.091,0.095,0.0,6.853
0237,-53.55,-3.68,0.806,0.0,0.722,0.0,0.694,1.921,0.001,0.097,0.0,-6.855
0238,-52.57,-0.57,0.618,0.0,0.824,0.0,0.5,1.443,0.007,0.038,0.0,-7.686
0239,-52.57,-0.55,0.706,0.059,1.0,0.0,0.735,1.143,0.26,0.058,0.0,-33.125
0240,-54.66,1.22,0.844,0.062,0.906,0.0,0.75,1.154,0.141,0.034,0.0,7.873
0241,-50.63,-3.84,0.842,0.0,0.921,0.0,0.763,1.293,0.008,0.051,0.0,-2.659
0242,-70.91,-4.34,0.4,0.025,0.875,0.0,0.375,1.067,0.053,0.027,0.0,-5.654
0243,-72.81,-5.14,0.514,0.027,0.946,0.0,0.514,1.07,0.019,0.017,0.0,2.429
0244,-71.41,-4.58,0.407,0.037,1.0,0.0,0.444,1.016,0.346,0.028,0.0,8.322
0245,-73.66,-7.45,0.865,0.0,0.486,0.0,0.459,1.12,0.176,0.03,0.0,-24.866
0246,-69.88,-6.68,0.286,0.0,0.829,0.0,0.2,1.075,0.053,0.008,0.001,-4.96
0247,-71.69,-7.06,0.351,0.0,1.0,0.0,0.405,1.032,0.183,0.006,0.094,-12.731
0248,-72.66,-7.63,0.583,0.0,0.806,0.0,0.5,0.983,0.609,-0.018,1.0,11.383
0249,-72.79,-8.93,0.889,0.0,0.694,0.0,0.639,1.106,0.035,0.048,0.0,16.502
0250,-72.72,-9.41,0.8,0.0,0.743,0.0,0.6,1.102,0.189,0.043,0.0,14.684
0251,-70.02,-7.43,0.483,0.0,0.862,0.0,0.414,1.034,0.257,-0.003,1.0,-11.531
0252,-70.72,-8.15,0.724,0.0,0.621,0.0,0.448,1.01,0.441,-0.01,1.0,-9.042
0253,-70.36,-8.16,0.6,0.0,0.84,0.0,0.48,0.919,0.855,0.008,0.535,-17.833
0254,-71.48,-7.95,0.667,0.0,0.567,0.0,0.433,1.188,0.042,0.032,0.0,-1.7
0255,-68.76,-11.0,0.767,0.033,0.733,0.0,0.633,1.079,0.278,0.034,0.0,4.598
0256,-68.51,-10.65,0.861,0.056,0.75,0.0,0.722,1.167,0.106,0.015,0.0,-18.767
0257,-67.8,-9.98,0.795,0.0,0.897,0.0,0.718,1.081,0.23,0.025,0.0,-18.956
0258,-67.4,-9.07,0.622,0.0,0.892,0.0,0.568,1.136,0.093,0.03,0.0,-14.45
0259,-67.55,-7.55,0.552,0.0,0.966,0.0,0.552,1.122,0.071,0.024,0.0,-13.115
0260,-64.89,-6.32,0.364,0.0,1.0,0.0,0.364,1.008,0.388,0.022,0.0,-4.52
0261,-68.58,-9.04,0.588,0.0,0.971,0.0,0.559,0.996,0.529,-0.021,1.0,-12.694
0262,-69.27,-8.88,0.692,0.0,0.923,0.0,0.654,1.008,0.467,0.019,0.0,-6.67
